127.0.0.1 - - [07/Mar/2016:11:24:37 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:24:39 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:25:47 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:25:47 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:25:48 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:26:24 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:26:25 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:28:23 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:28:25 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:29:36 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:29:37 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:29:58 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:29:59 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:30:33 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:30:34 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:01 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:02 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:03 +0800] "GET /StudentMsg/DBConnectionServlet?username=&userpwd= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:03 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:05 +0800] "GET /StudentMsg/DBConnectionServlet?username=&userpwd= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:05 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:06 +0800] "GET /StudentMsg/DBConnectionServlet?username=&userpwd= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:06 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:07 +0800] "GET /StudentMsg/DBConnectionServlet?username=&userpwd= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:07 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:07 +0800] "GET /StudentMsg/DBConnectionServlet?username=&userpwd= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:07 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:08 +0800] "GET /StudentMsg/DBConnectionServlet?username=&userpwd= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:08 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:08 +0800] "GET /StudentMsg/DBConnectionServlet?username=&userpwd= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:08 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:08 +0800] "GET /StudentMsg/DBConnectionServlet?username=&userpwd= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:31:08 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:34:54 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:34:59 +0800] "GET /StudentMsg/DBConnectionServlet?username=yhx&userpwd=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:34:59 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 409
